en/errors/messages,not_locked,was not locked
en/errors/messages,not_found,not found
en/errors/messages,already_confirmed,was already confirmed
en/views,back,Back
en/views,cancel,Cancel
en/views,submit,Submit
en/views,plase_wait,Please wait...
en/views,update,Update
en/views,signout,Sign out
en/views,load,Load
en/devise/failure,unauthenticated,You need to sign in or sign up before continuing.
en/devise/failure,timeout,"Your session expired, please sign in again to continue."
en/devise/failure,invalid,Invalid email or password.
en/devise/failure,inactive,Your account was not activated yet.
en/devise/failure,unconfirmed,You have to confirm your account before continuing.
en/devise/failure,invalid_token,Invalid authentication token.
en/devise/failure,locked,Your account is locked.
en/devise/passwords,send_instructions,You will receive an email with instructions about how to reset your password in a few minutes.
en/devise/passwords,updated,Your password was changed successfully. You are now signed in.
en/devise/views,sign_up_now,Sign up NOW!!!
en/devise/views,sign_up,Sign up
en/devise/views,sign_in,Sign in
en/devise/views,new_user,New User?
en/devise/views,forgot_password,Forgot your password?
en/devise/views,remember_me,Remember me
en/devise/views,cannot_sign_in,Cannot sign in? Click here for help!
en/devise/views,change_my_password,Change my password
en/devise/views,resend_confirmation_instructions,Resend confirmation instructions
en/devise/views,send_reset_password,Send me reset password instructions
en/devise/views,sign_in_more,Sign in&nbsp;&nbsp;&nbsp;&#9658;
en/devise/views,current_password,Current password (we need it to confirm your changes)
en/devise/views,confirm_new_password,Password confirmation
en/devise/views,sign_up_more,Sign up&nbsp;&nbsp;&nbsp;&#9658;
en/devise/views,new_password,New password (at least 6 characters)
en/devise/views,no_unlock_instructions,Did not receive unlock instructions?
en/devise/views,resend_unlock_instructions,Resend unlock instructions
en/devise/views,no_confirmation_instructions,Did not receive confirmation instructions?
en/devise/views,password,Password
en/devise/views,email,Email
en/devise/mailer/unlock_instructions,user_subject,Unlock Instructions
en/devise/mailer/reset_password_instructions,user_subject,Reset password instructions
en/devise/mailer/confirmation_instructions,user_subject,Confirmation instructions
en/devise/unlocks,unlocked,Your account was successfully unlocked. You are now signed in.
en/devise/unlocks,send_instructions,You will receive an email with instructions about how to unlock your account in a few minutes.
en/devise/registrations,destroyed,Bye! Your account was successfully cancelled. We hope to see you again soon.
en/devise/registrations,updated,You updated your account successfully.
en/devise/registrations,signed_up,You have signed up successfully. Please check your email for a confirmation message to activate your account!
en/devise/mails,reset_password_line1,"Someone has requested a link to change your password, and you can do this through the link below"
en/devise/mails,unlock_my_account,Unlock my account
en/devise/mails,reset_password_line2,"If you didn't request this, please ignore this email"
en/devise/mails,unlock_line1,Your account has been locked due to an excessive amount of unsuccessful sign in attempts
en/devise/mails,change_my_password,Change my password
en/devise/mails,reset_password_line3,Your password won't change until you access the link above and create a new one
en/devise/mails,welcome,Welcome
en/devise/mails,unlock_line2,Click the link below to unlock your account
en/devise/mails,confirm_my_account,Confirm my account
en/devise/mails,hello,Hello
en/devise/mails,confirm_through_link,You can confirm your account through the link below
en/devise/sessions,signed_out,Signed out successfully.
en/devise/sessions,signed_in,Signed in successfully.
en/devise/confirmations,confirmed,Your account was successfully confirmed. You are now signed in.
en/devise/confirmations,send_instructions,You will receive an email with instructions about how to confirm your account in a few minutes.
en/user/model,receive_notifications,Do you want to receive notifications to your email?
en/user/model,preferred_language,Message Language
en/user/model,yes_answer, Yes
en/user/model,female,Female
en/user/model,gender,Gender
en/user/model,male,Male
en/user/model,last_name,Last name
en/user/model,birthday,Year of Birthday
en/user/model,no_answer, No
en/user/model,first_name,First name
en/home/faq,faq,Frequently Asked Questions
en/home/faq,forgot_password,"You have already registered, but the system still doesn't permit you to enter? Did you check the confirmation instructions above? Maybe you forgot your password? Try the following link to reset it."
en/home/faq,confirmation,"You have already registered, but the system still doesn't permit you to enter? Please check your mailbox for the confirmation email. If there isn't one, please use the following link to send you another one."
en/home/faq,unlock,"You've been locked by the system. Please check your mailbox for the unlock email. If there isn't one, please use the following link to send it again."
en/home/faq,email,"If you've tried everything above and still have a problem, then please send an email to"
en/home/views,not_answered,not answered
en/home/views,answered,answered
en/home/views,check_for_new_questionnaire,Check for new questionnaire
en/home/views,dashboard,My page
en/home/views,title,Title
en/home/views,edit_profile,Edit profile
en/home/views,admin,Admin
en/home/views,date,Date
en/home/views,last_10_questionnaires,The last 10 questionnaires
en/home/views,status,Status
en/home/views,view_reports,View Reports
en/answer/model,answer_too_short,Your answer is too short. The minimum length of an answer is 10 characters.
en/answer/model,write_an_answer,You have to write an answer.
en/answer/model,select_at_least_one,You have to select at least one option.
en/answer/model,select_one_option,You have to select one of the options.
